target_coordinates	gene_name	transcript_id	Strand
chrX:133700617-133700709	GPC3	ENST00000692084	-
chr13:97366459-97366553	MBNL2	ENST00000704364	+
chr14:71053297-71053412	PCNX1	ENST00000556849	+
chr20:62953211-62953272	SLC17A9	ENST00000370349	+
chr20:63680664-63680719	RTEL1	ENST00000360203	+
chr14:58366024-58366068	ARID4A	ENST00000395168	+
chr6:127315934-127315974	ECHDC1	ENST00000436638	-
chr14:23319735-23319830	BCL2L2-PABPN1	ENST00000678502	+
chr20:25469991-25470095	NINL	ENST00000278886	-
chr10:28595695-28596041	WAC	ENST00000428935	+
chr5:95755396-95755761	RHOBTB3	ENST00000379982	+
chrX:2392354-2392474	DHRSX	ENST00000478825	-
chr9:126421854-126421948	MVB12B	ENST00000361171	+
chr22:19821228-19821375	GNB1L	ENST00000329517	-
chr20:63733219-63733352	ZGPAT	ENST00000355969	+
chr19:806408-806556	PTBP1	ENST00000356948	+
chr8:11867254-11867391	CTSB	ENST00000531502	-
chr8:144777458-144777577	ZNF34	ENST00000429371	-
chr16:87765066-87765206	KLHDC4	ENST00000561825	-
chr11:64225786-64225869	TRPT1	ENST00000317459	-
chr19:33387655-33387744	PEPD	ENST00000651901	-
chr2:190649846-190649982	NAB1	ENST00000337386	+
chr1:42816431-42816580	SVBP	ENST00000372521	-
chr5:55957209-55957291	IL6ST	ENST00000381298	-
chr3:66362860-66362929	SLC25A26	ENST00000354883	+
chr20:38983699-38983776	DHX35	ENST00000252011	+
chr16:119126-119255	NPRL3	ENST00000611875	-
chr11:970169-970311	AP2A2	ENST00000448903	+
chr2:159271702-159271795	WDSUB1	ENST00000359774	-
chr12:26411320-26411412	ITPR2	ENST00000381340	-
chrX:102600920-102601032	ARMCX5	ENST00000473968	+
chr15:52247458-52247592	MYO5C	ENST00000261839	-
chr2:38300272-38300328	ATL2	ENST00000378954	-
chr7:105472132-105472193	PUS7	ENST00000469408	-
chr2:208304846-208305013	PIKFYVE	ENST00000264380	+
chr4:186595689-186595826	FAT1	ENST00000441802	-
chr17:64502010-64502069	DDX5	ENST00000225792	-
chr14:35096558-35096633	PPP2R3C	ENST00000261475	-
chr5:60599075-60599260	DEPDC1B	ENST00000265036	-
chr3:78600113-78600309	ROBO1	ENST00000464233	-
chr10:104010816-104010908	SLK	ENST00000369755	+
chr12:95485879-95485981	METAP2	ENST00000323666	+
chr8:22412037-22412206	SLC39A14	ENST00000381237	+
chr1:154929024-154929176	PMVK	ENST00000368467	-
chr15:29719777-29720016	TJP1	ENST00000614355	-
chr4:68930546-68930765	UGT2A3	ENST00000251566	-
chr2:152679056-152679109	PRPF40A	ENST00000545856	-
chr12:96297270-96297332	CDK17	ENST00000261211	-
chrX:108202928-108202981	COL4A6	ENST00000334504	-
chr12:50453460-50453672	LARP4	ENST00000398473	+
chr9:100329931-100330169	TEX10	ENST00000374902	-
chr4:40935077-40935139	APBB2	ENST00000508593	-
chr17:78702538-78702604	CYTH1	ENST00000446868	-
chr8:73030336-73030395	TERF1	ENST00000276603	+
chr6:138917555-138917624	REPS1	ENST00000258062	-
chr4:39866861-39866997	PDS5A	ENST00000303538	-
chr1:45607321-45608337	NASP	ENST00000350030	+
chr5:132896323-132897240	AFF4	ENST00000265343	-
chr10:114447880-114448020	ABLIM1	ENST00000533213	-
chr10:114447880-114448026	ABLIM1	ENST00000369256	-
chr5:66158809-66158932	SREK1	ENST00000380918	+
chr1:98691075-98691185	SNX7	ENST00000306121	+
chrX:154448893-154448954	FAM50A	ENST00000393600	+
chr1:155268708-155268792	CLK2	ENST00000355560	-
chr17:81893104-81893187	ANAPC11	ENST00000577747	+
chr8:17554946-17555082	SLC7A2	ENST00000470360	+
chr12:24832723-24832863	BCAT1	ENST00000261192	-
chr5:36208625-36208690	NADK2	ENST00000506945	-
chr5:87383713-87383780	RASA1	ENST00000274376	+
chr2:164727106-164727144	COBLL1	ENST00000629362	-
chr2:182994839-182994887	NCKAP1	ENST00000361354	-
chr12:109579802-109579946	MVK	ENST00000228510	+
chr20:25213263-25213406	ENTPD6	ENST00000376652	+
chr12:109581395-109581550	MVK	ENST00000228510	+
chr7:100817192-100817357	EPHB4	ENST00000358173	-
chr7:44535840-44535968	NPC1L1	ENST00000381160	-
chr6:31150066-31150215	CCHCR1	ENST00000396268	-
chr11:59143497-59143695	FAM111A	ENST00000675163	+
chr3:185494623-185494761	TMEM41A	ENST00000421852	-
chr13:41355144-41355216	NAA16	ENST00000379406	+
chrX:30691123-30691199	GK	ENST00000427190	+
chr13:39034131-39034196	PROSER1	ENST00000352251	-
chr11:87305936-87306005	TMEM135	ENST00000305494	+
chr14:74034028-74034171	BBOF1	ENST00000394009	+
chr2:200383867-200384017	SPATS2L	ENST00000428692	+
chr15:67727916-67727945	MAP2K5	ENST00000178640	+
chr17:8589081-8589108	MYH10	ENST00000360416	-
chr13:114286302-114286400	UPF3A	ENST00000375299	+
chr10:5921258-5921357	FBH1	ENST00000362091	+
chr2:172568741-172568817	PDK1	ENST00000282077	+
chr2:43896634-43896708	LRPPRC	ENST00000260665	-
chr13:25251649-25251775	MTMR6	ENST00000381801	-
chr3:25632446-25632583	TOP2B	ENST00000264331	-
chr2:222900674-222900780	ACSL3	ENST00000357430	+
chr13:98377821-98377918	FARP1	ENST00000319562	+
chr7:24820175-24820238	OSBPL3	ENST00000313367	-
chr17:7907601-7907702	CHD3	ENST00000330494	+
chr3:49685262-49685382	MST1	ENST00000449682	-
chr3:101501070-101501119	SENP7	ENST00000394095	-
chr2:200459769-200459827	SPATS2L	ENST00000409140	+
chr3:142005441-142005544	TFDP2	ENST00000489671	-
chr5:37687910-37688007	WDR70	ENST00000504564	+
chr17:29085604-29085648	MYO18A	ENST00000527372	-
chr21:44855210-44855256	PTTG1IP	ENST00000330938	-
chr4:82861631-82861708	SEC31A	ENST00000395310	-
chr20:35713019-35713096	RBM39	ENST00000253363	-
chr15:48152234-48152284	MYEF2	ENST00000324324	-
chr12:4545782-4545832	RAD51AP1	ENST00000228843	+
chr13:37048564-37048599	SUPT20H	ENST00000350612	-
chr3:100747414-100747454	TFG	ENST00000676308	+
chr3:43618020-43618086	ANO10	ENST00000456438	-
chr6:31758548-31758620	MSH5	ENST00000375750	+
chr14:24144192-24144259	PSME2	ENST00000216802	-
chr16:53638310-53638411	RPGRIP1L	ENST00000647211	-
chr2:11222083-11222174	ROCK2	ENST00000315872	-
chr9:128267194-128267274	GOLGA2	ENST00000611957	-
chr17:39723912-39724010	ERBB2	ENST00000269571	+
chr12:32737865-32737942	DNM1L	ENST00000549701	+
chr8:102299452-102299547	UBR5	ENST00000520539	-
chr12:32738264-32738296	DNM1L	ENST00000549701	+
chr18:50271469-50271540	MBD1	ENST00000269468	-
chr3:184366717-184366800	POLR2H	ENST00000456318	+
chrX:17744071-17744219	SCML1	ENST00000380041	+
chr15:38464032-38464177	FAM98B	ENST00000397609	+
chr17:76091143-76091235	EXOC7	ENST00000589210	-
chr8:144321321-144321408	DGAT1	ENST00000528718	-
chr2:65069399-65069801	CEP68	ENST00000377990	+
chr2:229908965-229909086	TRIP12	ENST00000675423	-
chr1:40712687-40712821	NFYC	ENST00000372654	+
chr2:182117207-182117468	PPP1R1C	ENST00000409702	+
chr10:110100625-110100848	ADD3	ENST00000356080	+
chr2:182117207-182117301	PPP1R1C	ENST00000409137	+
chr5:88240813-88240916	TMEM161B	ENST00000296595	-
chr3:152446704-152446757	MBNL1	ENST00000463374	+
chr3:185919437-185919496	TRA2B	ENST00000453386	-
chr10:120856082-120856130	WDR11	ENST00000604585	+
chr17:17180607-17180669	MPRIP	ENST00000341712	+
chr8:22636525-22636586	BIN3	ENST00000276416	-
chr12:110498820-110498859	VPS29	ENST00000552130	-
chr10:87091571-87091623	GLUD1	ENST00000683269	-
chr12:56159587-56159622	MYL6	ENST00000548400	+
chr3:184187397-184187443	ABCF3	ENST00000429586	+
chr9:128267194-128267259	GOLGA2	ENST00000450617	-
chr19:6420073-6420144	KHSRP	ENST00000600480	-
chr1:23109585-23109650	LUZP1	ENST00000475164	-
chr3:149960056-149960136	RNF13	ENST00000392894	+
chr6:31758533-31758620	MSH5	ENST00000450148	+
chr17:7578165-7578244	EIF4A1	ENST00000293831	+
chr4:165111649-165111679	TMEM192	ENST00000505095	-
chr8:86515462-86515499	CPNE3	ENST00000517490	+
chr19:10106823-10107005	PPAN	ENST00000446223	+
chr10:102110529-102110701	LDB1	ENST00000673968	-
chr16:16162993-16163192	ABCC6	ENST00000205557	-
chr20:49228715-49228888	DDX27	ENST00000618172	+
chr16:19735353-19735450	IQCK	ENST00000695302	+
chr9:112716461-112716541	INIP	ENST00000374242	-
chr20:35632163-35632234	CPNE1	ENST00000397443	-
chr6:30590306-30590378	ABCF1	ENST00000326195	+
chr17:78552697-78552805	DNAH17	ENST00000389840	-
chr10:1005818-1005907	GTPBP4	ENST00000360803	+
chr19:1036130-1036246	CNN2	ENST00000263097	+
chr11:65543427-65543549	LTBP3	ENST00000301873	-
chr8:22080805-22080870	DMTN	ENST00000358242	+
chr11:116837345-116837407	APOA1	ENST00000236850	-
chr17:8229142-8229206	CTC1	ENST00000651323	-
chr20:35630741-35630795	CPNE1	ENST00000397443	-
chr12:121857328-121857432	HPD	ENST00000289004	-
chr6:30891380-30891479	DDR1	ENST00000376568	+
chr3:38126162-38126341	ACAA1	ENST00000333167	-
chr2:27131672-27131831	PREB	ENST00000260643	-
chr7:151374097-151374243	NUB1	ENST00000568733	+
chr3:126016731-126016875	SLC41A3	ENST00000360370	-
chr3:28263291-28263380	CMC1	ENST00000466830	+
chr6:106248150-106248244	ATG5	ENST00000369076	-
chr3:38131596-38131638	ACAA1	ENST00000333167	-
chr2:27311899-27311951	MPV17	ENST00000380044	-
chr7:44760151-44760228	ZMIZ2	ENST00000309315	+
chr22:31614789-31614860	SFI1	ENST00000400288	+
chr15:88899656-88899811	MFGE8	ENST00000268150	-
chr16:28958717-28958861	NFATC2IP	ENST00000320805	+
chr7:44076509-44076629	POLM	ENST00000242248	-
chr20:62289207-62289330	OSBPL2	ENST00000313733	+
chr1:11828458-11828624	CLCN6	ENST00000346436	+
chr11:61357203-61357371	CYB561A3	ENST00000426130	-
chr3:129559620-129559783	PLXND1	ENST00000324093	-
chr17:29086438-29086577	MYO18A	ENST00000527372	-
chr3:13496736-13496852	HDAC11	ENST00000295757	+
chr15:73697596-73697702	CD276	ENST00000558689	+
chr1:150504632-150504733	TARS2	ENST00000369064	+
chr12:53315335-53315426	AAAS	ENST00000209873	-
chr15:90893654-90893811	FES	ENST00000328850	+
chr2:96864238-96864382	SEMA4C	ENST00000305476	-
chr19:36006423-36006671	SYNE4	ENST00000324444	-
chr11:65129729-65129915	SYVN1	ENST00000377190	-
chr8:86484872-86484961	RMDN1	ENST00000406452	-
chr13:75359769-75359858	TBC1D4	ENST00000377636	-
chr16:66563122-66563217	CKLF	ENST00000264001	+
chr8:28097219-28097318	ELP3	ENST00000256398	+
chr19:36007125-36007268	SYNE4	ENST00000324444	-
chr2:218344455-218344570	PNKD	ENST00000273077	+
chr19:3546255-3546425	MFSD12	ENST00000355415	-
chr16:28608708-28608890	SULT1A1	ENST00000566189	-
chr8:90017124-90017326	DECR1	ENST00000220764	+
chr3:15737033-15737233	ANKRD28	ENST00000683139	-
chr11:6480323-6480463	ARFIP2	ENST00000396777	-
chrX:18924381-18924525	PHKA2	ENST00000379942	-
chr19:12677108-12677211	DHPS	ENST00000210060	-
chr16:30083655-30083781	PPP4C	ENST00000279387	+
chr19:19635644-19635721	GMIP	ENST00000203556	-
chr16:28487662-28487741	CLN3	ENST00000636147	-
chr16:67946438-67946633	SLC12A4	ENST00000316341	-
chr7:100678098-100678299	GNB2	ENST00000303210	+
chr11:504824-504996	RNH1	ENST00000354420	-
chr16:89649351-89649497	CHMP1A	ENST00000397901	-
chr19:18436684-18436877	ISYNA1	ENST00000338128	-
chr7:151077621-151077780	FASTK	ENST00000297532	-
chr19:18437599-18437760	ISYNA1	ENST00000338128	-
chr22:50287667-50287793	PLXNB2	ENST00000359337	-
chr3:51959895-51960023	PCBP4	ENST00000461554	-
chr6:109449657-109449783	MICAL1	ENST00000358807	-
chr3:50300988-50301077	HYAL1	ENST00000395144	-
chr11:47419116-47419197	PSMC3	ENST00000298852	-
chr19:55455636-55455845	ISOC2	ENST00000425675	-
chr4:1804330-1804520	FGFR3	ENST00000440486	+
chr19:8210706-8210862	CERS4	ENST00000251363	+
chr1:156499432-156499560	MEF2D	ENST00000489057	-
chr16:4801267-4801321	ROGDI	ENST00000322048	-
chr1:21597686-21597728	RAP1GAP	ENST00000374765	-
chr16:30986840-30987002	HSD3B7	ENST00000297679	+
chr1:21850041-21850192	HSPG2	ENST00000374695	-
chr16:30766163-30766282	RNF40	ENST00000324685	+
chr12:110346001-110346118	ATP2A2	ENST00000539276	+
chr3:8629664-8629726	SSUH2	ENST00000544814	-
chr20:44936637-44936730	PABPC1L	ENST00000217073	+
chr19:49166041-49166215	TRPM4	ENST00000252826	+
chr17:82433658-82433822	HEXD	ENST00000327949	+
chr22:41584281-41584372	PMM1	ENST00000216259	-
chr3:184165113-184165206	DVL3	ENST00000313143	+
chr14:20372733-20372857	TEP1	ENST00000262715	-
chr17:28558181-28558297	PIGS	ENST00000706186	-
chr1:52905034-52905090	ECHDC2	ENST00000371522	-
chr9:114252593-114252646	COL27A1	ENST00000356083	+
chr22:50250427-50250523	HDAC10	ENST00000216271	-
chr19:45816482-45816577	SYMPK	ENST00000245934	-
chr9:70346605-70346649	SMC5	ENST00000361138	+
chr12:51104155-51104203	TFCP2	ENST00000257915	-
chr2:159453613-159453801	BAZ2B	ENST00000392783	-
chr11:88312388-88312554	CTSC	ENST00000227266	-
chr8:141427750-141427824	PTP4A3	ENST00000521578	+
chr7:2658940-2659015	TTYH3	ENST00000258796	+
chr20:34929401-34929590	GSS	ENST00000651619	-
chr2:85351680-85351862	RETSAT	ENST00000295802	-
chr20:33019062-33019115	BPIFB2	ENST00000170150	+
chr15:90949654-90949720	UNC45A	ENST00000418476	+
chr20:62308368-62308470	ADRM1	ENST00000253003	+
chrX:154354616-154354711	FLNA	ENST00000369850	-
chr20:3754397-3754519	ADISSP	ENST00000379772	-
chr12:52056030-52056159	NR4A1	ENST00000394825	+
chr14:23565816-23565892	AP1G2	ENST00000397120	-
chr16:681793-681880	STUB1	ENST00000219548	+
chr14:24238246-24238405	GMPR2	ENST00000399440	+
chr16:88859573-88859750	TRAPPC2L	ENST00000561840	+
chr14:23566562-23566686	AP1G2	ENST00000397120	-
chr6:33195907-33196036	RXRB	ENST00000374680	-
chr14:24103160-24103255	PCK2	ENST00000216780	+
chr1:109280396-109280489	PSRC1	ENST00000369909	-
chr22:21629010-21629187	YDJC	ENST00000292778	-
chr16:67538672-67538824	RIPOR1	ENST00000042381	+
chr8:123253322-123256171	ZHX1	ENST00000395571	-
chr11:77700721-77702495	RSF1	ENST00000308488	-
chr21:46661800-46661936	PRMT2	ENST00000355680	+
chr12:132702429-132702564	PXMP2	ENST00000428960	+
chr12:45422957-45423062	ANO6	ENST00000320560	+
chr2:27312994-27313109	MPV17	ENST00000380044	-
chr19:34377503-34377586	GPI	ENST00000356487	+
chr2:74142272-74142360	BOLA3	ENST00000327428	-
chr17:3640188-3640267	CTNS	ENST00000046640	+
chr12:51056144-51056245	LETMD1	ENST00000262055	+
chr2:219232260-219232362	ANKZF1	ENST00000323348	+
chr1:156294759-156295016	GLMP	ENST00000362007	-
chr6:30914810-30915037	VARS2	ENST00000676266	+
chr1:156554235-156554392	IQGAP3	ENST00000361170	-
chr17:19547985-19548133	SLC47A1	ENST00000270570	+
chr15:75363999-75364188	MAN2C1	ENST00000267978	-
chr22:31602607-31602785	SFI1	ENST00000400288	+
chr15:75362642-75362748	MAN2C1	ENST00000267978	-
chr19:55387930-55388048	RPL28	ENST00000344063	+
chr12:51052092-51052207	LETMD1	ENST00000262055	+
chr10:63598024-63598144	REEP3	ENST00000373758	+
chr12:51053778-51053860	LETMD1	ENST00000262055	+
chr8:28846747-28846809	INTS9	ENST00000521022	-
chr17:58724040-58724100	RAD51C	ENST00000337432	+
chrX:13734044-13734185	TRAPPC2	ENST00000380579	-
chr1:36224971-36225102	THRAP3	ENST00000469141	+
chr2:217893439-217893561	TNS1	ENST00000682258	-
chr17:81567954-81568075	NPLOC4	ENST00000572824	-
chr7:87439667-87439837	ABCB4	ENST00000649586	-
chr1:23798887-23799012	GALE	ENST00000617979	-
chr12:6967892-6968021	PHB2	ENST00000535923	-
chr1:23796509-23796586	GALE	ENST00000617979	-
chr6:31728451-31728524	DDAH2	ENST00000375789	-
chr2:199948318-199948472	TYW5	ENST00000354611	-
chr8:102849987-102850144	AZIN1	ENST00000684566	-
chr2:241153476-241153604	PPP1R7	ENST00000234038	+
chr16:16079352-16079478	ABCC1	ENST00000399410	+
chr2:237578004-237578155	RAB17	ENST00000264601	-
chr8:133284757-133284896	NDRG1	ENST00000674605	-
chr2:219557343-219557618	OBSL1	ENST00000404537	-
chr11:10808277-10808508	EIF4G2	ENST00000524932	-
chr2:219228434-219228485	ATG9A	ENST00000361242	-
chr19:17302183-17302232	ABHD8	ENST00000594194	-
chr2:230873417-230873557	ITM2C	ENST00000326427	+
chr17:81826380-81826515	MCRIP1	ENST00000575061	-
chr17:42564983-42565047	COASY	ENST00000393818	+
chr11:62598327-62598390	MTA2	ENST00000278823	-
chr10:80283916-80284038	MAT1A	ENST00000372213	-
chr20:56390556-56390665	AURKA	ENST00000395914	-
chr17:6687529-6687666	SLC13A5	ENST00000433363	-
chr10:16816973-16817084	RSU1	ENST00000345264	-
chr4:127965954-127966056	ABHD18	ENST00000513371	+
chr17:42813948-42814008	BECN1	ENST00000590099	-
chr20:51607527-51607584	ATP9A	ENST00000338821	-
chr6:31355107-31355223	HLA-B	ENST00000412585	-
chr6:29944500-29944616	HLA-A	ENST00000376809	+
chr17:42818544-42818680	BECN1	ENST00000590099	-
chr20:2660697-2660829	IDH3B	ENST00000380843	-
chr17:42811655-42811797	BECN1	ENST00000590099	-
chr14:30877572-30877728	COCH	ENST00000396618	+
chr17:38721878-38722227	MLLT6	ENST00000621332	+
chr6:33211158-33211547	RING1	ENST00000374656	+
chr17:39745913-39746000	GRB7	ENST00000309156	+
chr9:128835779-128835868	ENSG00000286112	ENST00000651925	-
chr9:131504189-131504340	POMT1	ENST00000402686	+
chr1:40980886-40981043	CTPS1	ENST00000649124	+
chr17:3664195-3664272	TAX1BP3	ENST00000225525	-
chr1:31425330-31425409	SERINC2	ENST00000373709	+
chr10:60941804-60941854	RHOBTB1	ENST00000337910	-
chr5:119456315-119456368	HSD17B4	ENST00000510025	+
chr17:78121556-78121711	TMC6	ENST00000590602	-
chr7:984412-984574	CYP2W1	ENST00000308919	+
chr17:78124889-78124985	TMC6	ENST00000590602	-
chr17:81869542-81869625	ARHGDIA	ENST00000269321	-
chr17:78120653-78120832	TMC6	ENST00000590602	-
chr3:184316072-184316218	EIF4G1	ENST00000414031	+
chr20:49242594-49242681	DDX27	ENST00000618172	+
chr6:43307612-43307743	CRIP3	ENST00000372569	-
chr7:100631806-100631945	TFR2	ENST00000223051	-
chr11:118237050-118237260	MPZL3	ENST00000278949	-
chr14:31116236-31116458	HECTD1	ENST00000399332	-
chr17:4789511-4789677	GLTPD2	ENST00000331264	+
chr19:35060347-35060512	HPN	ENST00000672452	+
chr17:5425971-5426082	RPAIN	ENST00000381209	+
chr10:95341564-95341678	SORBS1	ENST00000371247	-
chr9:136804762-136804816	CCDC183	ENST00000338005	+
chr2:218402349-218402405	CTDSP1	ENST00000273062	+
chr11:117207067-117207160	PCSK7	ENST00000320934	-
chr20:44402554-44402644	HNF4A	ENST00000682427	+
chr17:81957806-81957908	NOTUM	ENST00000409678	-
chr17:81198877-81198971	CEP131	ENST00000450824	-
chr4:99207446-99207581	ADH6	ENST00000394899	-
chr6:154822276-154822409	SCAF8	ENST00000367178	+
chr17:45136108-45136232	ACBD4	ENST00000321854	+
chr16:30118047-30118163	MAPK3	ENST00000263025	-
chr17:50463818-50463909	ACSF2	ENST00000300441	+
chr1:154551397-154551492	UBE2Q1	ENST00000292211	-
chr9:136805357-136805457	CCDC183	ENST00000338005	+
chr2:241500740-241500847	STK25	ENST00000439101	-
chr6:31961196-31961386	SKIC2	ENST00000375394	+
chr15:89318931-89319099	POLG	ENST00000268124	-
chr17:43545558-43545668	ETV4	ENST00000319349	-
chr16:2002991-2003120	ZNF598	ENST00000562103	-
chr6:32033790-32033892	C4B	ENST00000435363	+
chr3:48416346-48416451	PLXNB1	ENST00000296440	-
chr10:132202646-132202825	DPYSL4	ENST00000338492	+
chr22:19978897-19979080	ARVCF	ENST00000263207	-
chr17:58214741-58214838	MKS1	ENST00000393119	-
chr1:110012362-110012462	AHCYL1	ENST00000369799	+
chr9:133473415-133473600	SLC2A6	ENST00000371899	-
chr9:128635092-128635259	DYNC2I2	ENST00000372715	-
chr17:54903708-54903792	TOM1L1	ENST00000575882	+
chr14:67340440-67340518	ATP6V1D	ENST00000216442	-
chr9:136670169-136670330	EGFL7	ENST00000308874	+
chr19:1880896-1881048	ABHD17A	ENST00000250974	-
chr11:126274927-126275021	FOXRED1	ENST00000263578	+
chr9:127449610-127449708	RPL12	ENST00000361436	-
chr7:56074586-56074736	SUMF2	ENST00000434526	+
chr6:41739799-41739946	PGC	ENST00000373025	-
chr22:41877942-41878123	SREBF2	ENST00000361204	+
chr22:31259889-31260077	LIMK2	ENST00000331728	+
chr7:105126248-105126340	SRPK2	ENST00000393651	-
chr11:20056530-20056628	NAV2	ENST00000396087	+
chr17:42762355-42762463	RAMP2	ENST00000253796	+
chr12:56172585-56172704	SMARCC2	ENST00000550164	-
chr19:35740380-35740564	IGFLR1	ENST00000246532	-
chr19:50406983-50407174	POLD1	ENST00000440232	+
chr20:44622588-44622652	ADA	ENST00000372874	-
chr17:18256526-18256597	FLII	ENST00000327031	-
chr20:44623007-44623078	ADA	ENST00000372874	-
chr19:45369070-45369147	ERCC2	ENST00000391945	-
chr20:44626456-44626599	ADA	ENST00000372874	-
chr1:119740386-119740518	PHGDH	ENST00000641023	+
chr19:41906457-41906620	ARHGEF1	ENST00000354532	+
chr19:1619316-1619474	TCF3	ENST00000262965	-
chr6:130878104-130878250	EPB41L2	ENST00000337057	-
chr15:49283566-49283718	GALK2	ENST00000560031	+
chr8:17980591-17980755	PCM1	ENST00000325083	+
chr21:15842398-15842540	USP25	ENST00000400183	+
chrX:48981795-48981872	GRIPAP1	ENST00000376423	-
chr14:23562504-23562593	AP1G2	ENST00000397120	-
chr17:14074323-14074456	COX10	ENST00000261643	+
chrX:147938099-147938161	FMR1	ENST00000370475	+
chr3:12603478-12603537	RAF1	ENST00000442415	-
chr17:74866446-74866568	FDXR	ENST00000293195	-
chr7:102467719-102467823	LRWD1	ENST00000292616	+
chr6:99544206-99544273	CCNC	ENST00000486428	-
chr17:78205603-78205738	AFMID	ENST00000409257	+
chr1:31584886-31585036	TINAGL1	ENST00000271064	+
chr17:78204656-78204741	AFMID	ENST00000409257	+
chr11:34139191-34139287	NAT10	ENST00000257829	+
chrX:20050824-20050946	MAP7D2	ENST00000379643	-
chr15:42435384-42435518	ZNF106	ENST00000564754	-
chr16:28832496-28832567	ATXN2L	ENST00000336783	+
chr14:21499306-21499371	METTL3	ENST00000298717	-
chr19:42349499-42349699	MEGF8	ENST00000251268	+
chr19:18538216-18538436	FKBP8	ENST00000608443	-
chr19:10687346-10687708	ILF3	ENST00000588657	+
chr2:241501478-241501799	STK25	ENST00000439101	-
chr5:140696103-140696201	HARS2	ENST00000230771	+
chr12:56092986-56093076	ERBB3	ENST00000267101	+
chr17:44085022-44085155	HDAC5	ENST00000682912	-
chr15:34365559-34365701	LPCAT4	ENST00000314891	-
chrX:65524564-65524614	LAS1L	ENST00000374811	-
chr14:21018457-21018504	NDRG2	ENST00000556147	-
chr8:140669727-140669735	PTK2	ENST00000696786	-
chr20:25221232-25221333	ENTPD6	ENST00000376652	+
